Expression,d,run,seed,train_mse,test_mse,run_time_s,expr
P2,32,0,0,0.0011586241361636756,0.015772608376654982,7.199663609266281,((-3.242086) + (0.196223 * ((((1.405341 * X1) ^ 2) + ((((0.707107 ^ 2) + (((-0.461895) * X1) ^ 2)) + ((((-0.527807) * X2) - (1.414214 * X1)) - (1.231492 * X1))) + (((((-0.824047) * X1) ^ 2) - ((-0.580203) * X2)) + ((((((-0.527807) * X2) - (1.231492 * X1)) ^ 2) + (((-1.641934) - (2.031562 * X2)) ^ 2)) + (((2.482285 * X2) + ((-1.641934) - (2.031562 * X2))) + ((1.505154 * X1) ^ 2)))))) + ((((0.771769 * X2) ^ 2) + ((((-0.527807) * X2) - (1.231492 * X1)) ^ 2)) + (6.283185 * X2)))))
P2,32,1,1,0.006499627501695469,0.1884688973699495,7.185213930904865,((-5.035348) + (0.182994 * (((((((-2.340874) - (1.698616 * X2)) - ((((-1.685948) * X2) + (((-1.685948) * X2) + ((-0.815264) * X1))) + (((0.639217 * X1) ^ 2) + ((-1.685948) * X2)))) + ((((((-1.685948) * X2) + ((-0.815264) * X1)) ^ 2) - (0.693147 * X1)) - (((1.414214 * X2) - 2.718282) - ((-1.783517) * X1)))) + ((3.141593 - (1.287855 * X1)) - ((-3.014269) * X2))) - ((-2.340874) - (1.592977 * X2))) + ((((1.287855 * X1) ^ 2) + (((-2.340874) + ((-1.685948) * X2)) ^ 2)) + ((2.614175 * X1) ^ 2)))))
P2,32,2,2,0.0018669370438103496,0.025386874221534364,7.2989270482212305,((-2.959439) + (0.169525 * (((((((0.843277 * X1) - ((-1.779002) * X2)) ^ 2) + ((1.029920 * X2) ^ 2)) + (((((0.843277 * X1) - ((-1.779002) * X2)) + (1.701152 * X2)) + (1.701152 * X2)) + ((((0.843277 * X1) - ((-1.779002) * X2)) + ((1.701152 * X2) + ((3.054135 * X2) - (1.648188 * X1)))) + (((2.009159 * X1) ^ 2) + ((((-0.822684) * X1) ^ 2) + ((2.302585 * X1) * (-1.328483))))))) - (((-3.179406) * X2) - (((-0.972757) * X2) ^ 2))) + ((((2.009159 * X1) ^ 2) + (((-0.972757) * X2) ^ 2)) + (0.655614 * X2)))))
P2,32,3,3,0.0025268280561426036,0.06980767066137804,7.191654622554779,((-4.177742) + (0.308504 * ((((-1.704695) * X1) + ((0.195683 * ((((-1.704695) * X1) ^ 2) + (0.625714 * X2))) + (((1.310497 * X1) + (0.625714 * X2)) ^ 2))) + ((2.448339 * X2) + (((((-1.704695) * X1) ^ 2) + ((2.068462 + (1.772454 * X2)) ^ 2)) + (((((1.170091 * X2) ^ 2) + (2.068462 + (1.772454 * X2))) * (-0.125821)) + ((-1.099118) * X2)))))))
P2,32,4,4,0.004214586570832404,0.08786650032946576,7.345783479511738,((-3.187914) + (0.275625 * (((((-1.480416) - ((-1.862426) * X2)) * (1.000995 * X1)) + ((((((1.403053 * X1) ^ 2) + ((1.403053 * X1) ^ 2)) - ((-1.276040) + ((-0.860615) * X2))) + ((((((-1.068516) * X2) ^ 2) + (0.124668 * X2)) + (0.781438 + (1.442695 * X2))) + ((0.709185 * X2) ^ 2))) + ((((-1.150724) * X1) ^ 2) + ((((-1.276040) + ((-0.432050) * X1)) - ((-1.233329) * X2)) + (((0.732141 * X1) ^ 2) + ((0.671056 * X2) + (2.145730 * (2.422372 * X2)))))))) + ((1.464780 * X2) ^ 2))))
P2,64,0,0,0.00036874334976881297,0.0053400683004630745,7.195945719256997,((-5.635126) + (0.172779 * (((((1.599060 * X1) ^ 2) + ((((((-1.608322) * X1) - (-0.601829)) + ((-0.349632) * X2)) ^ 2) + ((((-1.465713) * 1.772454) - (1.666733 * X2)) ^ 2))) + ((((((-0.339703) * X2) + ((-1.029510) * X1)) ^ 2) + (((((-1.465713) * 1.772454) - (1.666733 * X2)) ^ 2) + ((((-1.261837) ^ 2) + ((-1.425339) * X2)) + (((0.318310 * X2) ^ 2) - (1.628833 * X1))))) + (((((-1.608322) * X1) - 0.179105) + ((-0.349632) * X2)) ^ 2))) + (((0.691278 * X1) ^ 2) + ((-0.339703) * X2)))))
P2,64,1,1,0.015104902916583453,0.39031650625299447,7.124944908544421,((-4.101168) + ((-0.361472) * (((((-1.181514) * X2) + (0.199960 * ((((((-1.181514) * X2) + (-1.232689)) ^ 2) + (((-0.640850) + ((-1.442801) * X2)) - ((1.414214 * X1) - 2.688037))) - ((1.159148 * X2) + 1.831625)))) - (((((-1.181514) * X2) + (-1.232689)) ^ 2) + ((((1.442695 * X1) ^ 2) + ((((-0.640850) ^ 2) + (0.434294 * X2)) ^ 2)) + ((((-0.060972) - ((-1.528899) * X1)) + (0.461595 * X2)) ^ 2)))) + (((-0.060972) - ((-1.528899) * X1)) - ((((-1.181514) * X2) + (-1.232689)) ^ 2)))))
P2,64,2,2,0.0026907678827852097,0.10172529798573013,7.000351160764694,((-2.952346) + (0.546390 * ((((((-0.878673) * X2) ^ 2) + ((2.164018 * X2) - ((1.073154 * X1) - ((-0.695741) * X2)))) - ((((0.855349 * X1) * ((-1.102473) * X2)) - (((-1.065412) * X2) ^ 2)) - (((1.442695 * X1) ^ 2) - ((-0.883314) * X2)))) + (((0.918679 * X1) ^ 2) + (((((-1.077942) * X1) - ((0.829938 * X1) - ((-0.883314) * X2))) * (-0.065552)) + ((1.720269 * X2) - ((-0.691227) * X2)))))))
P2,64,3,3,1.0879875328568577e-05,0.00027165236379116965,6.874928588047624,((-5.207958) + (0.459842 * (((((((-1.198497) * X1) ^ 2) + ((((((-0.953412) * X1) - ((-1.304543) * X2)) ^ 2) - (((0.497085 * X2) - (-0.337324)) ^ 2)) + ((((-1.198497) * X1) ^ 2) - ((2.231151 + (1.412150 * X2)) - ((1.419527 * X1) - (1.412150 * X2)))))) * 0.013473) + (((-1.198497) * X1) ^ 2)) + (((((0.819255 * X1) ^ 2) + (((0.497085 * X2) - ((-1.149397) * X1)) ^ 2)) - ((0.497085 * X2) - ((-1.149397) * X1))) + ((((1.549562 + (1.412150 * X2)) - (-0.337324)) - (-0.337324)) ^ 2)))))
P2,64,4,4,0.024667617790859745,1.1005952269810673,7.424312138929963,((-3.647931) + ((-0.195937) * (((((-0.322317) * (0.587436 * X2)) ^ 2) + ((((1.603162 + (0.527228 * X1)) ^ 2) - ((((1.414214 * X1) ^ 2) - ((-0.322317) - ((-1.568301) * X1))) + (1.442695 + (((-0.621831) * X1) ^ 2)))) - ((((2.103158 * X2) + ((1.656398 * X2) * 1.856443)) + (((-0.905823) ^ 2) + (0.693147 * X2))) + ((((1.603162 + (0.527228 * X1)) + (2.384113 * X2)) ^ 2) + ((((-0.907894) - ((-0.636922) * X1)) ^ 2) + ((2.322319 * X1) ^ 2)))))) + ((0.587436 * X2) ^ 2))))
