Expression,d,run,seed,train_mse,test_mse,run_time_s,expr
P3,32,0,0,17.279549675422846,26198.162865259812,7.021508866921067,(6.410963 + ((-11.336250) * (((((-1.515514) * X1) * (((-0.374920) * X1) ^ 2)) + (((-0.027248) ^ 2) - (((0.704427 * (((-1.082805) * X1) - (((-0.374920) * X1) ^ 2))) + (((-0.453816) + ((-0.695502) * X2)) ^ 2)) * (0.348343 * X2)))) - ((((((0.999530 ^ 2) + (((-1.082805) * X1) - ((-0.205341) * X2))) * (((-1.749061) * X1) - (1.568948 * X2))) + (((-1.515514) * X1) * (((-0.374920) * X1) ^ 2))) * ((-0.018379) * X1)) - ((((-0.205341) * X2) ^ 2) * ((0.348343 * X2) + ((((-1.082805) * X1) - (-0.022485)) - (1.568948 * X2))))))))
P3,32,1,1,8.693802207376796,4924.1551216807065,7.349423622712493,(4.749388 + ((-1.985850) * (((((((-0.187285) * X1) + (-0.772376)) * (2.718282 * (0.766977 * X1))) * (((-0.665850) - (0.900918 * X2)) + 2.718282)) + (1.363544 * X1)) + (((((((-1.193489) * X2) ^ 2) * (((-0.665850) - (0.900918 * X2)) + (((-0.187285) * X1) + (-0.772376)))) + (1.630627 * X2)) + (((-0.665850) - (0.900918 * X2)) + ((((-0.665850) - (0.900918 * X2)) + 2.718282) + ((0.900918 * X2) ^ 2)))) - (((1.716144 * (0.766977 * X1)) ^ 2) * (0.524221 * X1))))))
P3,32,2,2,20.597941051032656,6480.061182279552,6.982188086956739,(2.675860 + (9.214571 * ((((((((1.846240 * X1) ^ 2) * (0.407974 * X1)) * 0.177914) + ((((((-0.288117) * X1) - (0.734421 * X2)) + (1.234998 * X2)) ^ 2) + (((0.318310 * X2) ^ 2) * ((2.596762 * X2) + ((2.777866 * X1) * 0.177914))))) + ((((-0.288117) * X1) - (0.734421 * X2)) * (((-0.288117) * X1) ^ 2))) + ((0.177914 ^ 2) * ((((((-0.288117) * X1) - (0.734421 * X2)) + (1.325022 * X2)) ^ 2) + (((0.318310 * X2) ^ 2) * ((2.596762 * X2) + (0.707107 * X1)))))) + (((-0.288117) * X1) ^ 2))))
P3,32,3,3,22.80952006629947,5507.578607938671,6.950478000566363,(3.633007 + (7.793154 * ((((((-0.860069) * X2) ^ 2) - ((-0.928973) * X2)) * (0.434294 * X2)) - (0.139604 * ((((((((-1.649560) * X1) - (2.418401 * X1)) - ((0.842159 * X1) ^ 2)) * ((-0.782445) * X2)) + (((-0.860069) * X2) ^ 2)) - (((0.842159 * X1) ^ 2) - ((((-0.482830) * X18) - ((0.842159 * X1) ^ 2)) - ((0.525281 * X1) * ((0.842159 * X1) ^ 2))))) + (((0.028383 * X17) + ((-0.538833) * X1)) * ((((-0.928973) * X2) ^ 2) + (((((-1.649560) * X1) ^ 2) - ((-0.860069) * X2)) - (-1.758912)))))))))
P3,32,4,4,17.695758604838524,6044.7390870509425,6.62848755158484,(3.374672 + (23.398827 * ((((0.377121 * X2) ^ 2) * (0.707107 * X2)) + ((((((((-2.436975) ^ 2) + (1.459099 * X1)) * (0.943109 * X2)) * (0.707107 * X2)) + (((0.707107 * X2) - ((((-0.961994) * X1) ^ 2) * (1.442695 * X2))) + ((((-1.642864) * (1.406564 * X1)) * (0.943109 * X2)) + (((0.138906 * X2) + ((-0.232695) * X1)) ^ 2)))) * ((-0.151683) ^ 2)) + ((((0.138906 * X2) + ((-0.232695) * X1)) ^ 2) - ((((-0.961994) * X1) * ((0.302665 * X1) ^ 2)) + ((-0.128324) * X2)))))))
P3,64,0,0,14.415882583122828,3124.5338529053915,7.183936541900039,(4.453024 + (6.918965 * (((((1.620900 * X1) + (((-1.115093) * X1) + ((-0.467197) * X2))) ^ 2) + ((((-0.049529) + ((-0.467197) * X2)) ^ 2) * ((1.198550 * X1) + (1.158530 * X2)))) + ((0.318310 * (((((1.620900 * X1) ^ 2) * (0.095430 * X1)) + (((-0.049529) + ((-0.467197) * X2)) + (((1.620900 * X1) * (0.095430 * X1)) + (1.414214 * X2)))) + ((-0.467197) * X2))) + ((((0.123650 * (((3.447924 * X1) + (1.414214 * X2)) + (-0.688744))) + ((-0.467197) * X2)) ^ 2) * ((1.198550 * X1) + (1.158530 * X2)))))))
P3,64,1,1,15.57085236988464,6996.445802700043,8.292021166533232,(11.832699 + ((-4.149658) * (((((((-0.201388) * (((-2.785924) * ((-1.856093) * X1)) + (-2.785924))) + (((((-1.781553) * X2) - (0.504406 * X1)) + (-2.785924)) * ((0.566510 * X2) ^ 2))) + ((((((-1.293286) * X1) + 0.578022) * (-0.466905)) + (((-1.293286) * X1) + (1.809237 * X1))) - (0.566510 * X2))) + ((((0.566510 * X2) + (0.318310 - (1.809237 * X1))) - 1.642520) * ((((-1.293286) * X1) + (1.809237 * X1)) ^ 2))) + ((0.566510 * X2) ^ 2)) + ((((-1.293286) * X1) * ((-0.562308) * X2)) + 1.642520))))
P3,64,2,2,17.03406437007166,5675.630053924112,7.944038547575474,(4.534352 + ((-15.137532) * ((((((1.207281 * ((-1.021393) * X1)) * ((((-0.704866) * X2) + (0.682822 * X1)) ^ 2)) - (((((1.801130 * X1) + 0.693147) - ((-0.229208) * X2)) - (1.129689 * ((-1.021393) * X1))) - (((-1.021393) * X1) * ((0.843277 * X2) ^ 2)))) + ((1.129689 * ((-1.021393) * X1)) * (((1.801130 * X1) + 0.693147) ^ 2))) * (0.090249 * 0.326627)) - ((((0.820207 * X1) - (0.699087 * X2)) - ((0.843277 * X2) ^ 2)) * ((-0.229208) * X2)))))
P3,64,3,3,10.2282323956371,6118.097676242085,7.299458414316177,((-0.517604) + (2.358201 * ((((1.931882 * X1) - ((-0.701010) * X2)) + ((((-0.701010) * X2) ^ 2) + ((((-0.701010) * X2) - ((-0.926976) * X1)) ^ 2))) + (((((-0.701010) * X2) ^ 2) + ((((1.320268 * X1) + (-1.641799)) * (0.108662 * X1)) + ((((-0.701010) * X2) ^ 2) + ((0.191553 * X2) + ((((-0.701010) * X2) - ((-0.926976) * X1)) ^ 2))))) * ((0.758431 * X1) - ((-0.701010) * X2))))))
P3,64,4,4,8.91866321083573,17722.910569059582,7.097431367263198,(2.814974 + (7.497820 * (((((0.172583 * X1) * (((0.323696 * X2) - (1.016998 * X2)) - ((((-1.973750) * X1) * ((-0.200070) * X2)) + (((0.703296 * X2) ^ 2) ^ 2)))) - ((1.252847 * X26) + ((0.703296 * X2) ^ 2))) * 0.019330) - ((((((-1.973750) * X1) * ((-0.200070) * X2)) - (((1.016998 * X2) ^ 2) * (0.323696 * X2))) - ((0.323696 * X2) * (1.016998 * X2))) - ((0.172583 * X1) * (((1.221892 * X1) + ((0.703296 * X2) ^ 2)) + (((1.252847 * X1) + ((-0.200070) * X2)) ^ 2)))))))
