Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
88.75	-33.17191	169.7507
89.0625	-33.80882	173.455
89.375	-34.65381	179.316
89.6875	-35.10091	-176.9239
90	-35.54987	-169.7593
90.3125	-35.71419	-162.637
90.625	-35.5373	-155.9081
90.9375	-35.35872	-148.361
91.25	-34.81134	-146.9454
91.5625	-34.56099	-141.2172
91.875	-34.25232	-139.5256
92.1875	-33.57182	-138.816
92.5	-33.40352	-136.1547
92.8125	-32.53751	-135.6654
93.125	-32.36029	-134.2659
93.4375	-31.70059	-135.3778
93.75	-31.49025	-136.3252
94.0625	-31.43479	-139.4565
94.375	-31.16713	-139.6984
94.6875	-31.16577	-141.685
95	-31.36762	-142.2637
95.3125	-31.54037	-143.9678
95.625	-31.65236	-144.0847
95.9375	-31.94226	-143.9574
96.25	-32.32161	-144.8031
96.5625	-32.55178	-143.6934
96.875	-33.05416	-142.3775
97.1875	-33.47851	-138.6891
97.5	-33.36826	-134.4758
97.8125	-33.08274	-131.1825
98.125	-33.02193	-128.9569
98.4375	-32.89624	-127.8248
98.75	-32.88378	-124.048
99.0625	-32.51654	-121.3123
99.375	-32.21482	-118.9125
99.6875	-32.18225	-118.1824
100	-31.91623	-117.9946
100.3125	-31.63756	-115.2292
100.625	-31.25837	-114.8147
100.9375	-31.25607	-113.9727
101.25	-31.1096	-113.3464
101.5625	-30.68332	-112.5717
101.875	-30.53229	-110.2432
102.1875	-30.14214	-110.3311
102.5	-29.84938	-109.3426
102.8125	-29.69822	-108.717
103.125	-29.53495	-107.8506
103.4375	-29.09521	-106.7446
103.75	-28.99788	-106.6697
104.0625	-28.73713	-106.6779
104.375	-28.41074	-106.0839
104.6875	-28.15471	-105.1719
105	-28.06208	-105.587
105.3125	-27.62367	-105.1293
105.625	-27.45796	-104.9195
105.9375	-27.34975	-105.7916
106.25	-27.13163	-105.3847
106.5625	-26.83343	-105.284
106.875	-26.71463	-105.2531
107.1875	-26.3552	-105.242
107.5	-26.26856	-105.9781
107.8125	-26.14613	-105.5958
108.125	-25.79535	-106.1857
108.4375	-25.6693	-105.2919
108.75	-25.50994	-105.6671
