[START] seeds=[0, 1, 2, 3, 4] max_workers=5 device=cpu csv='korns_complexeql_benchmark_results.csv' hdf5='korns_dataset_train_extrap.hdf5'
[WORKER START] seed=0 device=cpu
[WORKER START] seed=1 device=cpu
[WORKER START] seed=3 device=cpu
[WORKER START] seed=4 device=cpu
[WORKER START] seed=2 device=cpu
[WORKER] seed=0 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=0 PID_START P1
[WORKER] seed=1 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=1 PID_START P1
Random seed set as 1791095845
Random seed set as 1319712737
[WORKER] seed=4 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=3 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=4 PID_START P1
[WORKER] seed=3 PID_START P1
Random seed set as 1867650593
Random seed set as 306679169
[WORKER] seed=2 problems=9 pids=['P1', 'P2', 'P3', 'P5', 'P6', 'P7', 'P8', 'P9', 'P10']
[WORKER] seed=2 PID_START P1
Random seed set as 1211952741
[PHASE1 | Epoch 8000] lr=1.00e-03, total=1.3735e-04, data=1.3733e-04, sparsity_reg=1.3970e-08, imag_w=2.4832e-09, active_edges=510
[PHASE1 | Epoch 8000] lr=1.00e-03, total=3.4057e-04, data=3.4055e-04, sparsity_reg=1.2989e-08, imag_w=2.3621e-09, active_edges=510
[PHASE1 | Epoch 8000] lr=1.00e-03, total=1.1024e-03, data=1.1024e-03, sparsity_reg=1.4441e-08, imag_w=4.1845e-09, active_edges=510
[PHASE1 | Epoch 8000] lr=1.00e-03, total=9.8077e-06, data=9.7881e-06, sparsity_reg=1.5796e-08, imag_w=3.8778e-09, active_edges=510
[PHASE1 | Epoch 9000] lr=1.00e-03, total=3.4262e-03, data=3.4261e-03, sparsity_reg=1.1801e-08, imag_w=2.5786e-09, active_edges=510
[PHASE1 | Epoch 9000] lr=1.00e-03, total=3.2792e-04, data=3.2790e-04, sparsity_reg=1.4260e-08, imag_w=2.7053e-09, active_edges=510
[PHASE1 | Epoch 9000] lr=1.00e-03, total=4.3797e-04, data=4.3795e-04, sparsity_reg=1.3151e-08, imag_w=2.5732e-09, active_edges=510
[PHASE1 | Epoch 9000] lr=1.00e-03, total=3.4618e-03, data=3.4617e-03, sparsity_reg=1.4594e-08, imag_w=4.2993e-09, active_edges=510
[PHASE1 | Epoch 9000] lr=1.00e-03, total=4.3168e-05, data=4.3148e-05, sparsity_reg=1.5850e-08, imag_w=3.8966e-09, active_edges=510
[PHASE1 | Epoch 10000] lr=1.00e-03, total=1.1606e-05, data=1.1591e-05, sparsity_reg=1.2016e-08, imag_w=2.6274e-09, active_edges=510
[PHASE1 | Epoch 10000] lr=1.00e-03, total=1.5459e-04, data=1.5457e-04, sparsity_reg=1.4543e-08, imag_w=2.9822e-09, active_edges=510
[PHASE1 | Epoch 10000] lr=1.00e-03, total=3.6191e-04, data=3.6189e-04, sparsity_reg=1.3221e-08, imag_w=2.6538e-09, active_edges=510
[PHASE1 | Epoch 10000] lr=1.00e-03, total=2.2395e-05, data=2.2375e-05, sparsity_reg=1.4757e-08, imag_w=4.3846e-09, active_edges=510
[PHASE1 | Epoch 10000] lr=1.00e-03, total=1.3016e-05, data=1.2995e-05, sparsity_reg=1.6453e-08, imag_w=4.2380e-09, active_edges=510
[PHASE1 | Epoch 11000] lr=1.00e-03, total=4.0918e-05, data=4.0903e-05, sparsity_reg=1.2262e-08, imag_w=2.7976e-09, active_edges=510
[PHASE1 | Epoch 11000] lr=1.00e-03, total=1.0030e-04, data=1.0028e-04, sparsity_reg=1.4864e-08, imag_w=3.2175e-09, active_edges=510
[PHASE1 | Epoch 11000] lr=1.00e-03, total=8.2654e-04, data=8.2653e-04, sparsity_reg=1.3500e-08, imag_w=2.8813e-09, active_edges=510
