Source File Name:	Analyzer
Signal:	FFT - Vib Acceleration - Mag. [dB] & Phase
dB-Reference:	0 dB = 1 m/s²
Frequency	Magnitude	Phase
[ Hz ]	[ dB ]	[ ° ]
188.75	-13.30219	90.01599
189.0625	-13.26027	90.23781
189.375	-13.11987	89.47289
189.6875	-13.28538	88.0126
190	-13.47334	89.14316
190.3125	-13.40471	89.57246
190.625	-13.39116	89.49954
190.9375	-13.41085	89.35548
191.25	-13.45085	89.74715
191.5625	-13.4598	89.74608
191.875	-13.43164	89.80713
192.1875	-13.50333	89.71381
192.5	-13.48177	89.43111
192.8125	-13.50755	89.64815
193.125	-13.47787	89.80915
193.4375	-13.49131	89.70905
193.75	-13.47127	89.68002
194.0625	-13.54305	89.81644
194.375	-13.52764	89.65202
194.6875	-13.52747	89.87663
195	-13.52221	89.81775
195.3125	-13.54601	89.73746
195.625	-13.52611	89.62281
195.9375	-13.52806	89.54768
196.25	-13.56195	89.62866
196.5625	-13.56698	89.67921
196.875	-13.5451	89.80447
197.1875	-13.55627	89.57468
197.5	-13.59645	89.48798
197.8125	-13.61456	89.54812
198.125	-13.62988	89.69048
198.4375	-13.60705	89.69368
198.75	-13.61948	89.78792
199.0625	-13.51362	89.91446
199.375	-13.55247	89.08872
199.6875	-13.62535	89.00925
200	-13.6251	89.2196
200.3125	-13.63173	89.15293
200.625	-13.64507	89.18343
200.9375	-13.62847	89.2924
201.25	-13.61916	89.49949
201.5625	-13.61268	89.30879
201.875	-13.62661	89.33955
202.1875	-13.61929	89.4102
202.5	-13.57328	89.47088
202.8125	-13.57492	89.24065
203.125	-13.575	89.18063
203.4375	-13.5533	89.10952
203.75	-13.5957	89.25489
204.0625	-13.56263	88.97668
204.375	-13.61513	88.92308
204.6875	-13.5427	89.05649
205	-13.53015	88.73041
205.3125	-13.54366	88.66064
205.625	-13.57516	88.76068
205.9375	-13.59118	88.66093
206.25	-13.53649	88.80442
206.5625	-13.55141	88.89429
206.875	-13.54627	88.91808
207.1875	-13.52252	89.01931
207.5	-13.50672	88.88711
207.8125	-13.47948	88.94421
208.125	-13.43617	88.82665
208.4375	-13.43402	89.25074
208.75	-13.42505	88.96814
209.0625	-13.40592	88.79752
209.375	-13.39142	88.69844
209.6875	-13.37839	89.03268
210	-13.3353	89.13991
210.3125	-13.30852	88.94328
210.625	-13.30907	89.20972
210.9375	-13.265	89.30363
211.25	-13.22697	89.39649
211.5625	-13.09244	89.15527
211.875	-13.07226	87.71981
212.1875	-13.31104	87.72478
212.5	-13.26261	88.96318
212.8125	-13.17697	88.80579
213.125	-13.1533	88.72794
213.4375	-13.12571	89.03671
213.75	-13.06038	88.98205
214.0625	-12.99925	88.83208
214.375	-13.01077	88.53384
214.6875	-12.99488	88.21385
215	-12.97632	88.4472
215.3125	-12.96858	88.26176
215.625	-12.92313	88.07054
215.9375	-12.94302	88.23823
216.25	-12.93393	88.01284
216.5625	-12.9131	88.11411
216.875	-12.93407	87.95286
217.1875	-12.90423	87.93699
217.5	-12.90067	87.62026
217.8125	-12.90412	87.72746
218.125	-12.92218	87.84021
218.4375	-12.89764	87.89181
218.75	-12.87343	88.00723
219.0625	-12.87247	87.93442
219.375	-12.8714	88.09785
219.6875	-12.78819	88.17095
220	-12.80418	88.21049
220.3125	-12.81501	88.16721
220.625	-12.74395	88.12861
220.9375	-12.73272	87.91158
221.25	-12.729	87.83504
221.5625	-12.7214	87.85282
221.875	-12.58442	87.76498
222.1875	-12.7026	87.31567
222.5	-12.72746	87.27429
222.8125	-12.7075	87.46628
223.125	-12.70419	87.36874
223.4375	-12.70366	87.38837
223.75	-12.68899	87.34595
224.0625	-12.73132	87.49887
224.375	-12.70853	87.53969
224.6875	-12.66249	87.40669
225	-12.70404	87.3221
225.3125	-12.70952	87.38644
225.625	-12.6732	87.50986
225.9375	-12.6748	87.65644
226.25	-12.66112	88.01944
226.5625	-12.64271	87.63121
226.875	-12.65698	87.6532
227.1875	-12.6452	87.39684
227.5	-12.63323	87.67933
227.8125	-12.58603	87.89678
228.125	-12.58454	87.96589
228.4375	-12.54333	87.84126
228.75	-12.53092	87.84557
229.0625	-12.53065	87.86521
229.375	-12.51626	87.75134
229.6875	-12.48049	87.73621
230	-12.44482	87.77733
230.3125	-12.4103	87.39027
230.625	-12.39687	87.57039
230.9375	-12.39342	87.35166
231.25	-12.43019	87.61864
231.5625	-12.36633	87.57328
231.875	-12.35997	87.36157
232.1875	-12.35161	87.26601
232.5	-12.36462	87.35918
232.8125	-12.33467	87.34605
233.125	-12.3027	87.57288
233.4375	-12.25563	87.26892
233.75	-12.22926	87.1557
234.0625	-12.31218	86.46351
234.375	-12.41667	87.25277
234.6875	-12.30474	88.03847
